Model,Variation,MAP,MRR
BLT,ALL, 0.002705943942491897,0.0026606109718223295
BLT,AST_CFG,0.0019131645043809567,0.0012843218387712768
BLT,AST_DFG,0.0027317922857592984,0.0019299779386706187
BLT,AST,0.0020853307383289998,0.0018893564187488052
BLT,CFG,0.0029515605121626896,0.0024116044854367775
BLT,DFG,0.005767570186443912,0.005485420298276523
